papertitle,semanticscholarid,link
ClaimCheck: Real-Time Fact-Checking with Small Language Models,ee515202cabf1dedfdabd40e3fba77a32f401e55,https://idir.uta.edu/claimcheck
ClaimVerAgents: A Multi-Agent Retrieval-Augmented Claim Verification Framework,381de4d86f1884d8e863b1d8e378f6d60e35b2cc,https://anonymous.4open.science/r/
CLINav-GKD: Vision-Language Latent Hyperbolic Geometric Knowledge Distillation for Real-World 6-DOF Echocardiography Probe Navigation*,d95a0583a871bff532eac75e6f797b4b6b911a54,https://github.com/DaisyLi0516/CLINav-GKD
Clinical Stage Prompt Induced Multi-Modal Prognosis,9bbcc35d4451ad38fc24330743ab5ba75e66ba66,https://github.com/DeepMed-Lab-ECNU/CiMP/
CNN-TFT explained by SHAP with multi-head attention weights for time series forecasting,3de33eed469e1874339b6c83e9ca0ec51018be8e,https://github.com/SFStefenon/CNN-TFT-SHAP-MHAW
CoachMe: Decoding Sport Elements with a Reference-Based Coaching Instruction Generation Model,38c0df7a68465cfee20e9a62eac84430c824b0b4,https://motionxperts.github.io/
Code2Video: A Code-centric Paradigm for Educational Video Generation,9460986f54faae5b8a5068f05728ab3c1d84177d,https://github.com/showlab/Code2Video
CodeAgents: A Token-Efficient Framework for Codified Multi-Agent Reasoning in LLMs,b8f6b65b49032a8e4c9750fa60c3f1f2e44934f5,https://anonymous.4open.science/r/CodifyingAgent-5A86
Code Evolution for Control: Synthesizing Policies via LLM-Driven Evolutionary Search,f1289b4284dfd5f625705239631605990a5e3281,https://github.com/pgg3/EvoControl
Coevolutionary signals in multiple sequence alignments improve virulence factor prediction with an MSA Transformer,908b43e5308eeed5290c5f0f477b56c21051f146,http://bhi4.snu.ac.kr:7978
CogMAEC'25: The 1st Workshop on Cognition-oriented Multimodal Affective and Empathetic Computing,40a1ececee894b653e3429da0ab2df9d76a8f8ea,https://CogMAEC.github.io/MM2025
CogRail: Benchmarking VLMs in Cognitive Intrusion Perception for Intelligent Railway Transportation Systems,d40a7d64ac2e56f9895875e2d2fe08eaea7c2986,https://github.com/Hub-Tian/CogRail
"Collecting language, speech acoustics, and facial expression to predict psychosis and other clinical outcomes: strategies from the AMP® SCZ initiative",9268e99843bd4d49eaca5945517e1b55021ac687,https://vimeo.com/1112291965?fl=pl&fe=sh
